id_partido,id_torneo,id_seleccion_local,id_seleccion_visitante,id_estadio,id_arbitro,fecha,hora_local,fase,jornada,goles_local,goles_visitante,estado_partido,asistencia
PAR-000059,TOR-2020-EUROCOPA,ITA,ESP,EST-000002,,2021-07-06,,semifinal,,1,1,finalizado,
PAR-000060,TOR-2020-EUROCOPA,ENG,DEN,EST-000002,,2021-07-07,,semifinal,,2,1,finalizado,
PAR-000061,TOR-2020-EUROCOPA,ITA,ENG,EST-000002,,2021-07-11,,final,,1,1,finalizado,
PAR-000062,TOR-2021-COPAAMERICA,BRA,VEN,EST-000065,,2021-06-13,,fase_grupos,1,3,0,finalizado,0
PAR-000063,TOR-2021-COPAAMERICA,ARG,CHI,EST-000071,,2021-06-14,,fase_grupos,1,1,1,finalizado,0
PAR-000064,TOR-2021-COPAAMERICA,BRA,PER,EST-000071,,2021-06-17,,fase_grupos,2,4,0,finalizado,0
PAR-000065,TOR-2021-COPAAMERICA,ARG,URU,EST-000065,,2021-06-18,,fase_grupos,2,1,0,finalizado,0
PAR-000066,TOR-2021-COPAAMERICA,ARG,PAR,EST-000065,,2021-06-21,,fase_grupos,3,1,0,finalizado,0
PAR-000067,TOR-2021-COPAAMERICA,BRA,COL,EST-000071,,2021-06-23,,fase_grupos,3,2,1,finalizado,0
PAR-000068,TOR-2021-COPAAMERICA,BRA,ECU,EST-000073,,2021-06-27,,fase_grupos,4,1,1,finalizado,0
PAR-000069,TOR-2021-COPAAMERICA,BOL,ARG,EST-000072,,2021-06-28,,fase_grupos,4,1,4,finalizado,0
PAR-000070,TOR-2021-COPAAMERICA,BRA,CHI,EST-000071,,2021-07-02,,cuartos_final,,1,0,finalizado,0
PAR-000071,TOR-2021-COPAAMERICA,ARG,ECU,EST-000073,,2021-07-03,,cuartos_final,,3,0,finalizado,0
PAR-000072,TOR-2021-COPAAMERICA,BRA,PER,EST-000071,,2021-07-05,,semifinal,,1,0,finalizado,0
PAR-000073,TOR-2021-COPAAMERICA,COL,ARG,EST-000065,,2021-07-06,,semifinal,,1,1,finalizado,0
PAR-000074,TOR-2021-COPAAMERICA,ARG,BRA,EST-000004,,2021-07-10,,final,,1,0,finalizado,
PAR-000075,TOR-2026-MUNDIAL,BRA,MAR,EST-000015,ARB-000050,2026-06-13,20:00,fase_grupos,1,1,1,finalizado,80663
PAR-000076,TOR-2026-MUNDIAL,ESP,CPV,EST-000042,,2026-06-15,,fase_grupos,1,0,0,finalizado,
PAR-000077,TOR-2026-MUNDIAL,ARG,ALG,EST-000051,,2026-06-16,21:00,fase_grupos,1,3,0,finalizado,
PAR-000078,TOR-2026-MUNDIAL,FRA,SEN,EST-000015,,2026-06-16,,fase_grupos,1,3,1,finalizado,
PAR-000079,TOR-2026-MUNDIAL,ENG,CRO,EST-000043,,2026-06-17,16:00,fase_grupos,1,4,2,finalizado,
PAR-000080,TOR-2026-MUNDIAL,BRA,HAI,EST-000055,ARB-000038,2026-06-19,,fase_grupos,2,3,0,finalizado,68324
PAR-000081,TOR-2026-MUNDIAL,ESP,KSA,EST-000042,,2026-06-21,,fase_grupos,2,4,0,finalizado,
PAR-000082,TOR-2026-MUNDIAL,ARG,AUT,EST-000043,,2026-06-22,13:00,fase_grupos,2,2,0,finalizado,
PAR-000083,TOR-2026-MUNDIAL,FRA,IRQ,EST-000055,,2026-06-22,17:00,fase_grupos,2,3,0,finalizado,
PAR-000084,TOR-2026-MUNDIAL,ENG,GHA,EST-000057,,2026-06-23,16:00,fase_grupos,2,0,0,finalizado,
PAR-000085,TOR-2026-MUNDIAL,SCO,BRA,EST-000053,ARB-000023,2026-06-24,,fase_grupos,3,0,3,finalizado,64478
PAR-000086,TOR-2026-MUNDIAL,NOR,FRA,EST-000057,,2026-06-26,15:00,fase_grupos,3,1,4,finalizado,
PAR-000087,TOR-2026-MUNDIAL,URU,ESP,EST-000060,,2026-06-27,,fase_grupos,3,0,1,finalizado,
PAR-000088,TOR-2026-MUNDIAL,JOR,ARG,EST-000043,,2026-06-27,22:00,fase_grupos,3,1,3,finalizado,
PAR-000089,TOR-2026-MUNDIAL,PAN,ENG,EST-000015,,2026-06-27,16:00,fase_grupos,3,0,2,finalizado,
PAR-000090,TOR-2026-MUNDIAL,BRA,JPN,EST-000046,,2026-06-29,,dieciseisavos_final,,2,1,finalizado,
PAR-000091,TOR-2026-MUNDIAL,FRA,SWE,EST-000015,,2026-06-30,,dieciseisavos_final,,3,0,finalizado,
PAR-000092,TOR-2026-MUNDIAL,ENG,COD,EST-000042,,2026-07-01,,dieciseisavos_final,,2,1,finalizado,
PAR-000093,TOR-2026-MUNDIAL,ESP,AUT,EST-000047,,2026-07-02,,dieciseisavos_final,,3,0,finalizado,
PAR-000094,TOR-2026-MUNDIAL,ARG,CPV,EST-000053,,2026-07-03,18:00,dieciseisavos_final,,3,2,finalizado,
PAR-000095,TOR-2026-MUNDIAL,PAR,FRA,EST-000055,,2026-07-04,17:00,octavos_final,,0,1,finalizado,
PAR-000096,TOR-2026-MUNDIAL,BRA,NOR,EST-000015,,2026-07-05,16:00,octavos_final,,1,2,finalizado,
PAR-000097,TOR-2026-MUNDIAL,POR,ESP,EST-000043,,2026-07-06,14:00,octavos_final,,0,1,finalizado,
PAR-000098,TOR-2026-MUNDIAL,MEX,ENG,EST-000013,,2026-07-06,,octavos_final,,2,3,finalizado,
PAR-000099,TOR-2026-MUNDIAL,ARG,EGY,EST-000042,,2026-07-07,12:00,octavos_final,,3,2,finalizado,
PAR-000100,TOR-2026-MUNDIAL,FRA,MAR,EST-000057,,2026-07-09,,cuartos_final,,2,0,finalizado,
PAR-000101,TOR-2026-MUNDIAL,ESP,BEL,EST-000047,,2026-07-10,,cuartos_final,,2,1,finalizado,
PAR-000102,TOR-2026-MUNDIAL,ARG,SUI,EST-000051,,2026-07-11,,cuartos_final,,3,1,finalizado,
PAR-000103,TOR-2026-MUNDIAL,NOR,ENG,EST-000053,,2026-07-11,,cuartos_final,,1,2,finalizado,
PAR-000104,TOR-2026-MUNDIAL,FRA,ESP,EST-000043,,2026-07-14,15:00,semifinal,,0,2,finalizado,
PAR-000105,TOR-2026-MUNDIAL,ARG,ENG,EST-000042,,2026-07-15,15:00,semifinal,,2,1,finalizado,
PAR-000106,TOR-2026-MUNDIAL,FRA,ENG,EST-000053,,2026-07-18,17:00,tercer_puesto,,4,6,finalizado,
PAR-000107,TOR-2026-MUNDIAL,ESP,ARG,EST-000015,,2026-07-19,,final,,1,0,finalizado,
PAR-000108,TOR-2026-ELIM-CONMEBOL,BRA,ARG,EST-000004,,2023-11-21,21:30,eliminatoria,6,0,1,finalizado,
PAR-000109,TOR-2026-ELIM-CONMEBOL,CHI,BRA,EST-000074,,2024-10-10,20:00,eliminatoria,9,1,2,finalizado,43059
PAR-000110,TOR-2026-ELIM-CONMEBOL,BRA,PER,EST-000065,,2024-10-15,,eliminatoria,10,4,0,finalizado,
PAR-000111,TOR-2026-ELIM-CONMEBOL,BRA,PAR,EST-000075,,2025-06-10,,eliminatoria,16,1,0,finalizado,
