id_estadio,nombre,ciudad,pais,capacidad,tipo_superficie,altitud_metros,techado
EST-000063,Estadio Monumental Isidro Romero Carbo,Guayaquil,Ecuador,57267,natural,4,false
EST-000064,Arena Fonte Nova,Salvador,Brasil,48661,natural,8,false
EST-000065,Arena BRB Mané Garrincha,Brasília,Brasil,69910,natural,1172,false
EST-000066,Estadio de La Cartuja,Sevilla,España,57619,natural,7,false
EST-000067,Gazprom Arena (Krestovsky Stadium),San Petersburgo,Rusia,68000,natural,11,true
EST-000068,Puskás Aréna,Budapest,Hungría,67215,natural,117,false
EST-000069,Arena Națională,Bucarest,Rumania,55634,natural,83,true
EST-000070,Stadio Olimpico,Roma,Italia,70634,natural,21,false
EST-000071,Estádio Olímpico Nilton Santos,Río de Janeiro,Brasil,46931,natural,10,false
EST-000072,Arena Pantanal,Cuiabá,Brasil,42788,natural,165,false
EST-000073,Estádio Olímpico Pedro Ludovico,Goiânia,Brasil,13500,natural,760,false
EST-000074,Estadio Nacional Julio Martínez Prádanos,Santiago,Chile,48745,natural,520,false
EST-000075,Neo Química Arena,São Paulo,Brasil,48905,natural,799,false
